dataset,publishTime,startTime,generation
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T03:00:00Z,3176
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T04:00:00Z,3065
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T05:00:00Z,3168
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T06:00:00Z,3154
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T07:00:00Z,3049
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T08:00:00Z,2940
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T09:00:00Z,2964
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T10:00:00Z,3020
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T11:00:00Z,3216
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T12:00:00Z,3419
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T13:00:00Z,3587
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T14:00:00Z,3791
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T15:00:00Z,4073
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T16:00:00Z,4187
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T17:00:00Z,4261
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T18:00:00Z,4086
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T19:00:00Z,4154
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T20:00:00Z,4572
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T21:00:00Z,4958
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T22:00:00Z,4990
WINDFOR,2022-05-07T08:30:00Z,2022-05-08T23:00:00Z,5306
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T00:00:00Z,5638
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T01:00:00Z,5870
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T02:00:00Z,6137
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T03:00:00Z,6443
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T04:00:00Z,6688
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T05:00:00Z,6945
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T06:00:00Z,7214
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T07:00:00Z,7509
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T08:00:00Z,7798
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T09:00:00Z,8076
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T10:00:00Z,8412
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T11:00:00Z,8765
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T12:00:00Z,9140
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T13:00:00Z,9664
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T14:00:00Z,10283
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T15:00:00Z,10964
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T16:00:00Z,11588
