dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,OTHER,461
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,PS,464
FUELHH,2022-05-07T21:30:00Z,2022-05-07T21:00:00Z,2022-05-07,45,WIND,2865
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,BIOMASS,816
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,CCGT,18671
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,COAL,0
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,INTELEC,0
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,INTEW,0
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,INTFR,-552
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,INTIFA2,-892
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,INTIRL,64
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,INTNED,-720
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,INTNEM,-1020
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,INTNSL,-160
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,NPSHYD,343
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,NUCLEAR,5290
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,OCGT,98
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,OIL,0
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,OTHER,679
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,PS,1048
FUELHH,2022-05-07T21:00:00Z,2022-05-07T20:30:00Z,2022-05-07,44,WIND,2559
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,BIOMASS,823
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,CCGT,18828
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,COAL,0
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,INTELEC,0
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,INTEW,0
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,INTFR,-554
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,INTIFA2,-902
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,INTIRL,124
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,INTNED,-720
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,INTNEM,-1020
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,INTNSL,-112
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,NPSHYD,351
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,NUCLEAR,5288
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,OCGT,98
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,OIL,0
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,OTHER,742
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,PS,1498
FUELHH,2022-05-07T20:30:00Z,2022-05-07T20:00:00Z,2022-05-07,43,WIND,2348
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,BIOMASS,828
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,CCGT,18870
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,COAL,0
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,INTELEC,0
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,INTEW,0
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,INTFR,-388
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,INTIFA2,-946
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,INTIRL,82
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,INTNED,-842
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,INTNEM,-1020
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,INTNSL,-14
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,NPSHYD,410
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,NUCLEAR,5289
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,OCGT,98
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,OIL,0
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,OTHER,704
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,PS,1584
FUELHH,2022-05-07T20:00:00Z,2022-05-07T19:30:00Z,2022-05-07,42,WIND,2309
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,BIOMASS,832
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,CCGT,18945
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,COAL,0
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,INTELEC,0
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,INTEW,0
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,INTFR,-386
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,INTIFA2,-948
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,INTIRL,178
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,INTNED,-848
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,INTNEM,-1020
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,INTNSL,6
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,NPSHYD,409
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,NUCLEAR,5290
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,OCGT,98
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,OIL,0
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,OTHER,749
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,PS,1528
FUELHH,2022-05-07T19:30:00Z,2022-05-07T19:00:00Z,2022-05-07,41,WIND,2193
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,BIOMASS,832
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,CCGT,19469
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,COAL,0
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,INTELEC,0
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,INTEW,0
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,INTFR,-480
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,INTIFA2,-950
